,name,ticker,manager
134,Barings US High Yield Fund,BXHAX US equity,
135,Fidelity Global High Income Fund,FGHNX US equity,
136,Loomis Sayles Institutional High Income Fund,LSHIX US equity,
137,Segall Bryant & Hamill Quality High Yield Fund,WTLTX US equity,
138,Delaware High-Yield Opportunities Fund,DHOAX US equity,
139,USAA High Income Fund,USHYX US equity,John Charles Spear
140,USAA High Income Fund,USHYX US equity,Kurt Daum
141,USAA High Income Fund,USHYX US equity,Neal Graves
142,USAA High Income Fund,USHYX US equity,James Jackson
143,Guggenheim High Yield Fund,SHYIX US equity,
144,Principal Funds Income High Yield Fund,PHYTX US equity,Mark P Denkinger
145,Payden High Income Fund,PYHRX US equity,Jordan Lopez
146,Federated Hermes Opportunistic High Yield Bond Fund,FHYTX US equity,
147,Nationwide Amundi Global High Yield Fund,NWXIX US equity,
148,Ivy High Income Fund,WHIAX US equity,
149,Angel Oak High Yield Opportunities Fund,ANHAX US equity,Berkin Kologlu
150,SEI Institutional Managed Trust - High Yield Bond Fund,SHYAX US equity,Donald Ellis Morgan III
151,John Hancock Funds II - U.S. High Yield Bond Fund,JIHLX US equity,
152,Integrity High Income Fund,IHFAX US equity,
153,Pacific Funds High Income,PLHIX US equity,Brian Robertson
154,Nuveen Credit Income Fund,FJSIX US equity,
155,Western Asset High Yield Fund,WAHYX US equity,
156,SEI Institutional Investment Trust - High Yield Bond Fund,SGYAX US equity,Kevin P Loome
157,HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,Anup Agarwal
158,HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,Harris A Trifon
159,HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,John Dire
160,HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,Michael Sugrue
161,HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,James Millward
162,HC Capital Trust - HC The Corporate Opportunities,HCHYX US equity,"Thomas B Lee ""Tom"""
163,Loomis Sayles High Income Opportunities Fund,LSIOX US equity,"Daniel J Fuss ""Dan"""
